Emp.No,Name,Retirement,Sex,Age,Tenure,Hiring.Source,University,Univ.GPA,Education.Level,Biz.Location,Job.Family,Team,Is.Manager,OverTime,Performance.Score,Unused.Vacation,Cognitive.Score,Endurance.Score,Execution.Score,Manager.Vision,Manager.Communication,Manager.Execution,Engagement.Score,Sales.Amount
4742,John56,No,Male,50,31.9,Job Board,MCGILL UNIVERSITY,87.67,HighSchool,Tokyo,Manufacturing,Marketing,No,170,30.6,12,82,75,98,86,73,19,66,NA
488,John57,No,Male,35,16.5,Job Board,MIT,71.33,Bachelor,Singapore,Research,Human Resources,No,28,46,15,76,100,98,61,83,51,65.7,NA
125,Jane58,No,Female,31,17.8,Job Board,SEOUL NATIONAL UNIVERSITY,80.89,Bachelor,Singapore,Administration,Quality Assurance,No,105,42.9,8,72,99,86,33,45,37,51,NA
5304,John59,No,Male,34,15.6,Job Board,UNIVERSITY OF PENNSYLVANIA,82.44,Bachelor,Tokyo,Marketing,Biz Dev,No,68,39.5,17,77,82,86,34,27,34,46.7,106410
995,John60,No,Male,34,14.1,Overseas,PEKING UNIVERSITY,89.11,Master,USA,Manufacturing,Tech Support,No,387,28.8,19,69,74,67,13,13,21,40.9,NA
3374,Jane61,No,Female,36,20.2,Job Board,"	EMORY UNIVERSITY",77.78,Master,Tokyo,Marketing,Quality Assurance,No,35,71.7,11,94,94,83,25,12,67,44.7,102563
4745,John62,No,Male,27,4.6,Intern,KYOTO UNIVERSITY,80.47,HighSchool,Tokyo,Research,Manufacturing,No,108,28.7,9,93,69,68,23,12,23,42,NA
1535,John63,No,Male,42,28.7,Job Board,SEOUL NATIONAL UNIVERSITY,77.21,Bachelor,Tokyo,Manufacturing,Manufacturing,No,172,48.6,11,99,74,73,25,32,19,47.3,NA
1026,John64,No,Male,30,10.3,Job Board,HOKKAIDO UNIVERSITY,80,Bachelor,USA,Research,Tech Support,No,127,48.1,19,88,90,96,3,10,41,40.2,NA
434,John65,Yes,Male,32,8,Job Board,OSAKA UNIVERSITY,63.33,Bachelor,Tokyo,Marketing,Tech Support,No,236,43.1,9,91,83,64,4,16,9,33.5,51053
1335,John66,No,Male,50,30.6,Job Board,TSINGHUA UNIVERSITY,81.56,Master,Shanghai,Manufacturing,Marketing,No,206,30.4,8,88,86,72,90,75,31,65.8,NA
2364,John67,No,Male,33,14.9,Job Board,PEKING UNIVERSITY,69.11,Bachelor,Singapore,Manufacturing,Tech Support,No,218,43.8,5,80,86,82,23,16,69,48.8,NA
1750,John68,No,Male,46,28.1,Job Board,PEKING UNIVERSITY,78,HighSchool,Singapore,Research,Marketing,No,141,56,9,98,98,62,91,78,37,64.7,NA
4671,John69,No,Male,30,13.2,Intern,YALE UNIVERSITY,80.67,Bachelor,Tokyo,Manufacturing,Human Resources,No,214,38.7,18,72,69,87,81,81,13,61.7,NA
1017,John70,No,Male,31,10.8,Job Board,UNIVERSITY OF CHICAGO,76.67,Bachelor,Shanghai,Administration,Biz Dev,No,93,34.5,19,83,69,98,9,35,13,45.1,NA
3520,John71,No,Male,47,26.5,Special,UNIVERSITY OF SUSSEX,71.56,Bachelor,Shanghai,Marketing,Manufacturing,No,67,30.7,22,75,95,65,44,18,21,43.5,126609
1915,John72,No,Male,42,24.1,Job Board,UNIVERSITY OF CHICAGO,66.67,Bachelor,Tokyo,Marketing,Legal,No,71,50.6,12,89,96,92,43,49,71,50.7,82400
1974,Jane73,No,Female,44,27.2,Special,PRINCETON UNIVERSITY,68.22,Bachelor,Seoul,Research,Biz Dev,No,144,83.8,2,90,97,64,42,39,2,48.1,NA
4109,John74,No,Male,37,19.7,Job Board,UNIVERSITY OF PENNSYLVANIA,93.78,2-Year College,Tokyo,Manufacturing,Biz Dev,No,216,50.8,1,100,87,83,71,34,0,59.3,NA
4810,Jane75,Yes,Female,31,15.6,Job Board,THE UNIVERSITY OF TOKYO,89.07,HighSchool,Tokyo,Manufacturing,Marketing,No,288,50.4,3,71,72,95,92,20,18,47.7,NA
5278,John76,No,Male,42,18.6,Job Board,HARVARD UNIVERSITY,80,Master,Singapore,Manufacturing,Tech Support,No,193,42.4,12,82,75,98,15,15,34,43.8,NA
5421,Jane77,No,Female,28,14.4,Intern,THE UNIVERSITY OF TOKYO,82.33,Bachelor,Tokyo,Manufacturing,Marketing,No,120,61.6,8,93,98,98,91,72,1,62.5,NA
5415,John78,No,Male,31,13.4,Job Board,DUKE UNIVERSITY,80.44,Bachelor,Shanghai,Administration,Tech Support,No,122,39.2,12,89,71,83,11,23,39,45.5,NA
2349,John79,No,Male,48,28.4,Job Board,MIT,72.44,Bachelor,Singapore,Manufacturing,Manufacturing,No,173,48.6,7,69,87,96,13,30,36,47.2,NA
5686,John80,No,Male,28,8.4,Job Board,UNIVERSITY OF OXFORD,81.56,Bachelor,Tokyo,Administration,Biz Dev,No,65,43.2,14,94,67,82,17,27,28,45.7,NA
1914,John81,No,Male,39,20.6,Job Board,UNIVERSITY OF CHICAGO,68,HighSchool,Amsterdam,Research,Human Resources,No,158,62.7,2,92,75,79,73,89,21,63.9,NA
1145,John82,No,Male,27,5.5,Job Board,THE UNIVERSITY OF TOKYO,90.22,Bachelor,Seoul,Manufacturing,Tech Support,No,277,45.6,7,83,100,91,21,20,11,46.8,NA
1794,John83,No,Male,42,21.2,Job Board,TSINGHUA UNIVERSITY,76.44,Bachelor,Tokyo,Research,Tech Support,No,132,48.7,21,80,95,63,19,17,27,40.5,NA
4559,John84,No,Male,34,17.5,Job Board,CORNELL UNIVERSITY,84.44,Master,Tokyo,Manufacturing,Legal,No,153,47.2,12,71,84,81,9,36,82,58.1,NA
36,John85,No,Male,49,27.3,Job Board,STANFORD UNIVERSITY,70.67,2-Year College,Shanghai,Administration,Quality Assurance,No,130,23.2,15,98,75,63,1,27,49,46.2,NA
4992,John86,Yes,Male,35,14.1,Overseas,UNIVERSITY OF CAMBRIDGE,87.11,Bachelor,Shanghai,Research,Tech Support,No,184,51.9,2,79,83,83,32,15,34,43.6,NA
3134,Jane87,No,Female,36,20.6,Job Board,STANFORD UNIVERSITY,88.67,Bachelor,Tokyo,Administration,Marketing,No,116,32.9,11,98,83,62,93,73,49,64.3,NA
3506,John88,No,Male,44,27.5,Job Board,SOGANG UNIVERSITY,73.56,Master,Singapore,Manufacturing,Marketing,No,197,53.7,18,96,91,74,91,75,46,68.2,NA
959,John89,No,Male,32,12.9,Job Board,UNIVERSITY OF TORONTO,70.22,Bachelor,USA,Manufacturing,Manufacturing,No,153,44.5,24,68,67,90,7,30,23,47.5,NA
1744,John90,No,Male,43,34.3,Job Board,TSINGHUA UNIVERSITY,78.22,Bachelor,Singapore,Marketing,Quality Assurance,Yes,154,61,9,86,92,92,31,47,87,54.5,75416
4218,John91,No,Male,36,17.7,Job Board,UNIVERSITY OF TORONTO,87.78,Master,Tokyo,Research,Marketing,No,89,57.9,5,70,94,91,90,75,52,65.6,NA
4754,John92,No,Male,25,7.4,Job Board,UNIVERSITY OF CAMBRIDGE,85.58,Bachelor,Tokyo,Research,Marketing,No,71,34.6,28,72,82,78,96,72,43,65,NA
4781,John93,No,Male,34,13.6,Overseas,UNIVERSITY OF SUSSEX,98.25,Doctor,Tokyo,Manufacturing,Tech Support,No,263,40.3,24,70,76,73,4,12,32,42,NA
2010,Jane94,No,Female,40,21.7,Job Board,THE UNIVERSITY OF TOKYO,57.56,Bachelor,USA,Marketing,Tech Support,No,81,36,9,72,79,79,22,16,46,43.1,20357
1151,John95,No,Male,31,11.7,Job Board,TSINGHUA UNIVERSITY,87.56,Master,Singapore,Research,Tech Support,No,373,74.2,2,71,96,99,4,20,55,50,NA
5465,John96,No,Male,30,8,Job Board,HARVARD UNIVERSITY,82.89,Bachelor,Tokyo,Marketing,Tech Support,No,83,38.4,12,94,81,72,18,11,39,42.5,59163
5315,John97,No,Male,36,14.1,Job Board,SEOUL NATIONAL UNIVERSITY,84.88,Bachelor,Shanghai,Research,Legal,No,188,56.6,4,82,95,71,9,43,77,53.6,NA
287,Jane98,No,Female,32,15.8,Job Board,TSINGHUA UNIVERSITY,77.33,Master,Singapore,Marketing,Manufacturing,No,285,60.3,9,96,82,84,8,14,88,49.8,57425
3647,John99,No,Male,38,17.4,Special,DUKE UNIVERSITY,79.33,2-Year College,Singapore,Research,Manufacturing,No,61,48.2,20,92,85,66,39,18,40,52,NA
4450,John100,No,Male,31,13.2,Job Board,PEKING UNIVERSITY,86.22,Bachelor,USA,Manufacturing,Finance,No,183,45,25,68,80,64,14,51,68,53.6,NA
4097,Jane101,No,Female,37,20.5,Special,UNIVERSITY OF PENNSYLVANIA,89.11,Bachelor,Shanghai,Manufacturing,Manufacturing,No,148,39.3,9,75,90,77,14,29,22,43.1,NA
2892,Jane102,Yes,Female,46,28.8,Job Board,HOKKAIDO UNIVERSITY,87,2-Year College,Tokyo,Manufacturing,Tech Support,No,324,47.5,9,98,67,62,9,15,31,40.3,NA
4383,John103,No,Male,33,13.9,Job Board,UNIVERSITY OF OXFORD,78.67,Master,Singapore,Manufacturing,Biz Dev,No,316,46.2,10,85,71,73,19,20,22,45.9,NA
4977,Jane104,No,Female,51,35.9,Special,NAGOYA UNIVERSITY,89.11,Bachelor,Shanghai,Manufacturing,Manufacturing,No,148,34.1,10,87,90,65,23,23,27,42.8,NA
4230,John105,No,Male,37,16.2,Job Board,HOKKAIDO UNIVERSITY,76,Bachelor,Singapore,Marketing,Tech Support,No,55,25.4,18,70,67,74,22,16,48,43,35068
5165,John106,No,Male,44,36,Job Board,DUKE UNIVERSITY,83.33,2-Year College,USA,Marketing,Manufacturing,Yes,48,35.4,9,92,82,62,14,22,21,40.6,37483
3636,John107,No,Male,39,22.4,Job Board,THE UNIVERSITY OF TOKYO,86,Bachelor,Tokyo,Manufacturing,Legal,No,197,26.8,13,78,98,88,58,25,81,55.5,NA
33,Jane108,No,Female,45,39.6,Job Board,STANFORD UNIVERSITY,77.56,Bachelor,Tokyo,Manufacturing,Manufacturing,Yes,260,53.3,11,82,75,81,13,29,24,52.5,NA
5577,John109,No,Male,28,10.7,Job Board,DUKE UNIVERSITY,89.11,Bachelor,Tokyo,Manufacturing,Biz Dev,No,208,43.3,22,95,85,94,52,25,50,51.4,NA
1314,John110,No,Male,47,27.2,Job Board,OSAKA UNIVERSITY,62,HighSchool,Tokyo,Research,Biz Dev,No,173,53.4,3,79,94,66,34,56,27,53.2,NA
2473,John111,No,Male,45,23.9,Special,UNIVERSITY OF TORONTO,71.33,Bachelor,USA,Manufacturing,Tech Support,No,317,49.9,16,95,79,86,23,18,31,48.6,NA
3682,John112,No,Male,48,26.7,Special,UNIVERSITY OF CAMBRIDGE,89.11,Doctor,Tokyo,Administration,Biz Dev,No,73,28.2,11,78,95,67,52,29,21,46.8,NA
3585,Jane113,No,Female,35,29.5,Job Board,SEOUL NATIONAL UNIVERSITY,92.67,Bachelor,Tokyo,Manufacturing,Biz Dev,Yes,201,38.8,13,67,98,99,52,54,43,55.2,NA
3569,John114,No,Male,38,15.6,Job Board,UNIVERSITY OF OXFORD,87.33,Master,Shanghai,Marketing,Tech Support,No,100,44.8,4,88,74,63,28,13,47,41.7,16846
3151,John115,No,Male,39,17.4,Special,STANFORD UNIVERSITY,86.22,Bachelor,Tokyo,Manufacturing,Tech Support,No,172,39.5,22,98,93,76,12,11,7,40.1,NA
999,Jane116,Yes,Female,29,14,Overseas,KYOTO UNIVERSITY,71.33,Master,Singapore,Manufacturing,Biz Dev,No,512,60.2,11,92,99,72,30,16,38,40.2,NA
1635,John117,No,Male,41,23.8,Job Board,THE UNIVERSITY OF TOKYO,80.67,HighSchool,Seoul,Manufacturing,Quality Assurance,No,457,81.2,9,74,83,64,17,46,8,57.5,NA
4176,John118,No,Male,44,22.5,Job Board,UNIVERSITY OF SUSSEX,76.67,Bachelor,Seoul,Marketing,Quality Assurance,No,266,36.8,13,97,96,79,32,58,11,48.1,114447
5013,Jane119,No,Female,32,24.3,Overseas,UNIVERSITY OF CHICAGO,77.33,2-Year College,USA,Marketing,Quality Assurance,Yes,95,54.1,12,94,68,98,67,30,14,44.8,74081
110,John120,No,Male,33,14.6,Job Board,NAGOYA UNIVERSITY,87.11,HighSchool,Shanghai,Manufacturing,Human Resources,No,190,43,13,74,74,65,83,88,8,61.5,NA
3007,John121,No,Male,38,16.3,Intern,HARVARD UNIVERSITY,73.11,Bachelor,Singapore,Manufacturing,Marketing,No,153,34.7,16,83,94,76,95,75,42,68.3,NA
5429,John122,No,Male,47,28.6,Special,KYOTO UNIVERSITY,84.44,2-Year College,Singapore,Marketing,Biz Dev,No,93,47,16,72,91,80,36,57,18,48,164858
898,John123,No,Male,38,19.7,Job Board,PEKING UNIVERSITY,81.11,Bachelor,Tokyo,Marketing,Human Resources,No,13,42,27,94,81,68,61,72,33,58.9,76529
1693,John124,Yes,Male,40,15.6,Job Board,MIT,73.11,Master,Shanghai,Manufacturing,Tech Support,No,484,49.1,0,86,88,70,26,28,32,38.1,NA
623,Jane125,No,Female,30,14.8,Job Board,PEKING UNIVERSITY,75.81,Master,Tokyo,Manufacturing,Marketing,No,320,44.1,2,73,69,76,70,73,17,62.5,NA
4815,John126,No,Male,33,13.1,Job Board,HOKKAIDO UNIVERSITY,84.65,HighSchool,Seoul,Research,Human Resources,No,232,55.9,14,82,66,88,84,75,8,60.8,NA
5615,John127,No,Male,28,3.8,Intern,PEKING UNIVERSITY,80.67,Bachelor,Shanghai,Marketing,Marketing,No,96,31.1,21,77,87,88,87,75,28,62.6,129891
929,Jane128,No,Female,29,14.7,Job Board,KYOTO UNIVERSITY,73.26,Bachelor,Tokyo,Manufacturing,Tech Support,No,223,55.7,8,91,79,95,1,20,26,39.1,NA
5037,John129,No,Male,36,21.2,Job Board,TSINGHUA UNIVERSITY,81.56,Bachelor,Singapore,Research,Tech Support,No,68,40.3,11,81,81,76,9,4,38,39.4,NA
5035,John130,No,Male,30,11.2,Intern,UNIVERSITY OF PENNSYLVANIA,82.44,2-Year College,Singapore,Marketing,Manufacturing,No,38,40.5,24,91,87,66,19,10,47,45.3,98581
4399,John131,No,Male,34,16.9,Job Board,STANFORD UNIVERSITY,83.72,Master,Shanghai,Research,Manufacturing,No,106,75,8,97,87,83,9,9,9,45.4,NA
2098,John132,No,Male,45,24.9,Job Board,STANFORD UNIVERSITY,87.67,Bachelor,Tokyo,Research,Marketing,No,115,61,21,100,73,65,92,73,43,66.5,NA
4829,John133,No,Male,48,30.1,Job Board,MIT,76.67,Bachelor,Seoul,Marketing,Quality Assurance,No,284,39,13,80,81,66,58,24,13,46.5,34149
311,John134,No,Male,35,14.9,Job Board,CORNELL UNIVERSITY,83.95,Master,Shanghai,Administration,Biz Dev,No,88,50.9,14,81,79,75,1,64,43,52.9,NA
4017,John135,No,Male,37,16.1,Special,YALE UNIVERSITY,66.67,Bachelor,USA,Administration,Quality Assurance,No,82,29.5,23,98,77,64,25,18,13,44,NA
5423,John136,No,Male,36,17.8,Job Board,UNIVERSITY OF CHICAGO,84.44,Bachelor,Tokyo,Manufacturing,Marketing,No,220,32.9,18,68,69,80,92,73,33,65.5,NA
4910,Jane137,No,Female,27,7.8,Job Board,PRINCETON UNIVERSITY,93.56,HighSchool,Seoul,Research,Manufacturing,No,60,73.9,7,69,77,64,17,18,16,46.9,NA
1461,Jane138,No,Female,38,24.4,Job Board,MIT,85.6,Master,Tokyo,Manufacturing,Quality Assurance,No,158,53.3,7,89,95,94,78,27,44,57.6,NA
3860,John139,Yes,Male,38,19.1,Special,PEKING UNIVERSITY,72.44,Bachelor,Shanghai,Research,Marketing,No,200,40.8,15,90,97,66,91,19,35,48.9,NA
2661,Jane140,No,Female,44,30.2,Job Board,UNIVERSITY OF CHICAGO,70.89,Master,Amsterdam,Marketing,Tech Support,No,236,42.5,9,72,92,92,4,9,17,33.9,114751
2729,John141,No,Male,41,34.5,Job Board,UNIVERSITY OF PENNSYLVANIA,81.56,Bachelor,Seoul,Research,Legal,Yes,320,59.2,12,78,87,94,7,40,58,53.6,NA
5743,Jane142,No,Female,41,26.8,Job Board,UNIVERSITY OF PENNSYLVANIA,82.89,Bachelor,Seoul,Manufacturing,Tech Support,No,136,42.6,13,98,90,78,11,15,32,40.8,NA
4194,John143,No,Male,42,22.6,Special,DUKE UNIVERSITY,75.78,Master,Seoul,Manufacturing,Tech Support,No,423,90.1,4,96,84,87,23,11,11,53,NA
2934,John144,No,Male,39,21.7,Job Board,"	EMORY UNIVERSITY",72.33,Doctor,Tokyo,Research,Biz Dev,No,108,46.8,8,83,79,94,62,40,33,57.6,NA
1874,Jane145,No,Female,39,24,Job Board,KYOTO UNIVERSITY,67.11,Bachelor,Amsterdam,Manufacturing,Tech Support,No,195,54.3,10,97,76,82,28,16,7,43.6,NA
3603,John146,No,Male,43,21.7,Job Board,THE UNIVERSITY OF TOKYO,67.33,HighSchool,Amsterdam,Marketing,Manufacturing,No,34,27.5,18,79,66,81,15,29,1,39.4,43590
3669,John147,No,Male,44,38.1,Special,PRINCETON UNIVERSITY,72.44,Bachelor,Seoul,Marketing,Quality Assurance,Yes,335,76.5,8,88,98,87,29,37,17,48.7,184749
4528,John148,No,Male,45,28.3,Special,UNIVERSITY OF CAMBRIDGE,76,Master,Singapore,Marketing,Manufacturing,No,80,44.8,4,82,85,70,10,11,34,42,41899
5724,John149,No,Male,26,5.8,Job Board,PEKING UNIVERSITY,78.22,Master,Tokyo,Manufacturing,Biz Dev,No,225,36.9,17,75,91,98,49,47,33,51.3,NA
